Iteration, Deposit, Amount
236, 1444.00, 1024882.30
237, 1448.00, 1038628.89
238, 1452.00, 1052544.44
239, 1456.00, 1066630.97
240, 1460.00, 1080890.54
241, 1464.00, 1095325.23
242, 1468.00, 1109937.13
243, 1472.00, 1124728.38
244, 1476.00, 1139701.12
245, 1480.00, 1154857.53
246, 1484.00, 1170199.82
247, 1488.00, 1185730.22
248, 1492.00, 1201450.98
249, 1496.00, 1217364.39
250, 1500.00, 1233472.77
251, 1504.00, 1249778.44
252, 1508.00, 1266283.78
253, 1512.00, 1282991.19
254, 1516.00, 1299903.08
255, 1520.00, 1317021.92
256, 1524.00, 1334350.18
257, 1528.00, 1351890.38
258, 1532.00, 1369645.07
259, 1536.00, 1387616.81
260, 1540.00, 1405808.21
261, 1544.00, 1424221.91
262, 1548.00, 1442860.57
263, 1552.00, 1461726.90
264, 1556.00, 1480823.62
265, 1560.00, 1500153.51
266, 1564.00, 1519719.35
267, 1568.00, 1539523.98
268, 1572.00, 1559570.27
269, 1576.00, 1579861.11
270, 1580.00, 1600399.44
271, 1584.00, 1621188.24
272, 1588.00, 1642230.50
273, 1592.00, 1663529.26
274, 1596.00, 1685087.61
275, 1600.00, 1706908.66
276, 1604.00, 1728995.57
277, 1608.00, 1751351.51
278, 1612.00, 1773979.73
279, 1616.00, 1796883.49
280, 1620.00, 1820066.09
281, 1624.00, 1843530.88
282, 1628.00, 1867281.26
283, 1632.00, 1891320.63
284, 1636.00, 1915652.48
285, 1640.00, 1940280.31
286, 1644.00, 1965207.67
287, 1648.00, 1990438.16
288, 1652.00, 2015975.42
289, 1656.00, 2041823.13
290, 1660.00, 2067985.00
291, 1664.00, 2094464.82
292, 1668.00, 2121266.40
293, 1672.00, 2148393.60
294, 1676.00, 2175850.32
295, 1680.00, 2203640.53
296, 1684.00, 2231768.21
297, 1688.00, 2260237.43
298, 1692.00, 2289052.28
299, 1696.00, 2318216.91
300, 1700.00, 2347735.51
301, 1704.00, 2377612.34
302, 1708.00, 2407851.68
303, 1712.00, 2438457.90
304, 1716.00, 2469435.40
305, 1720.00, 2500788.62
306, 1724.00, 2532522.09
307, 1728.00, 2564640.35
308, 1732.00, 2597148.04
309, 1736.00, 2630049.81
310, 1740.00, 2663350.41
311, 1744.00, 2697054.62
312, 1748.00, 2731167.27
313, 1752.00, 2765693.28
314, 1756.00, 2800637.60
315, 1760.00, 2836005.25
316, 1764.00, 2871801.31
317, 1768.00, 2908030.93
318, 1772.00, 2944699.30
319, 1776.00, 2981811.69
320, 1780.00, 3019373.43
321, 1784.00, 3057389.91
322, 1788.00, 3095866.59
323, 1792.00, 3134808.99
324, 1796.00, 3174222.70
